,Address,Monthly Rent,Property Type,Bath,Bed,Voucher Necessary,Availability,Contact,URL,Lat,Long
4575138,"1734 E 72nd St  304, Chicago, IL 60649",900,Apt,1.0,2.0,Yes,Available Now,(312) 361-3145,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4575138,41.7644,-87.5824
4575163,"7956 S Laflin St , Chicago, IL 60620",775,Apt,1.0,2.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4575163,41.7488,-87.6613
4575167,"1510 W 80th St , Chicago, IL 60620",775,Apt,1.0,2.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4575167,41.7487,-87.6614
4575386,"9708 S Ewing Ave , Chicago, IL 60617",900,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4575386,41.7192,-87.5357
4575467,"7505 S Stewart Ave 3, Chicago, IL 60620",800,Apt,1.0,2.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4575467,41.7579,-87.634
4575620,"8148 S Evans Ave  2, Chicago, IL 60619",1100,Apt,1.5,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-full-bathroom-rental-Apt/4575620,41.7462,-87.6066
4575779,"6725 S Paxton Ave 10b, Chicago, IL 60649",850,Apt,1.0,2.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4575779,41.7726,-87.5712
4575906,"5823 S Wabash Ave 3, Chicago, IL 60637",1300,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4575906,41.7884,-87.6236
4576005,"7501 S Parnell Ave 2w, Chicago, IL 60620",775,Apt,1.0,2.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4576005,41.7579,-87.638
4576007,"7416 S Emerald Ave 1, Chicago, IL 60621",775,Apt,1.0,2.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4576007,41.7592,-87.6431
4576182,"7945 S Dobson Ave 2d, Chicago, IL 60619",840,Apt,1.0,2.0,Yes,Available Now,(773) 793-9862,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4576182,41.75,-87.5987
4576419,"6725 S Paxton Ave 11a, Chicago, IL 60649",850,Apt,1.0,2.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4576419,41.7726,-87.5712
4576759,"1811 W 63rd St 2, Chicago, IL 60636",1300,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4576759,41.7791,-87.6696
4576898,"7947 S Merrill Ave , Chicago, IL 60617",1200,Apt,1.0,2.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4576898,41.7503,-87.5719
4577070,"1401 E 69th Pl , Chicago, IL 60637",1200,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4577070,41.7686,-87.5907
4577142,"4100 W West End Ave , Chicago, IL 60624",1505,Apt,1.0,3.0,Yes,Available Now,(844) 333-9700,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4577142,41.8835,-87.7285
4577179,"1520 S Komensky Ave 2, Chicago, IL 60623",9000,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4577179,41.86,-87.7266
4577290,"6947 S Jeffery Blvd 2e, Chicago, IL 60649",950,Apt,1.0,1.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4577290,41.7684,-87.576
4577312,"2652 E 74th St 2, Chicago, IL 60649",900,Apt,1.0,2.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4577312,41.7619,-87.5603
4577361,"7734 S East End Ave 2, Chicago, IL 60649",900,Apt,1.0,2.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4577361,41.7541,-87.5837
4577556,"7653 S Kingston Ave 1, Chicago, IL 60649",1050,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4577556,41.7557,-87.5623
4577585,"7900 S Merrill Ave , Chicago, IL 60617",1200,Apt,1.0,2.0,Yes,Available Now,(312) 388-1784,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4577585,41.7514,-87.5724
4577593,"3225 W Maypole Ave  2, Chicago, IL 60624",1250,Apt,1.0,4.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-bathroom-rental-Apt/4577593,41.8835,-87.7069
4577607,"6449 S Langley Ave , Chicago, IL 60637",750,Apt,1.0,1.0,Yes,Available Now,(773) 317-3767,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4577607,41.7771,-87.6079
4577629,"1232 S Lawndale Ave , Chicago, IL 60623",1000,Apt,1.0,2.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4577629,41.8652,-87.718
4577654,"1301 W 72nd St 2, Chicago, IL 60636",1350,Apt,1.5,4.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-full-bathroom-rental-Apt/4577654,41.7629,-87.6574
4577655,"3812 W 13th St 2w, Chicago, IL 60623",850,Apt,1.0,2.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4577655,41.8646,-87.7207
4577656,"1300 S Karlov Ave , Chicago, IL 60623",750,Apt,1.0,1.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4577656,41.8642,-87.7279
4577658,"1300 S Karlov Ave , Chicago, IL 60623",750,Apt,1.0,1.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4577658,41.8642,-87.7279
4577660,"1302 S Karlov Ave 1, Chicago, IL 60623",800,Apt,1.0,2.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4577660,41.8641,-87.7279
4577662,"1015 S Springfield Ave 1, Chicago, IL 60624",800,Apt,1.0,2.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4577662,41.8683,-87.7226
4577663,"1017 N Springfield Ave 1, Chicago, IL 60651",700,Apt,1.0,1.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4577663,41.8996,-87.7237
4577664,"1017 S Springfield Ave 2, Chicago, IL 60624",700,Apt,1.0,1.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4577664,41.8683,-87.7226
4577667,"6400 S Peoria St , Chicago, IL 60621",1150,Apt,2.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-2-bathroom-rental-Apt/4577667,41.7777,-87.6475
4577668,"6400 S Peoria St , Chicago, IL 60621",900,Apt,1.0,2.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4577668,41.7777,-87.6475
4577675,"6709 S Merrill Ave 12d, Chicago, IL 60649",850,Apt,1.0,2.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4577675,41.7731,-87.5726
4577680,"6707 S Merrill Ave 12b, Chicago, IL 60649",750,Apt,1.0,1.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4577680,41.7732,-87.5726
4577681,"6709 S Merrill Ave 11d, Chicago, IL 60649",1000,Apt,1.0,3.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4577681,41.7731,-87.5726
4577682,"6711 S Merrill Ave 10d, Chicago, IL 60649",750,Apt,1.0,1.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4577682,41.773,-87.5726
4577683,"6705 S Merrill Ave 9d, Chicago, IL 60649",750,Apt,1.0,1.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4577683,41.7733,-87.5728
4577685,"6703 S Merrill Ave 12a, Chicago, IL 60649",750,Apt,1.0,1.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4577685,41.7733,-87.5726
4577686,"6705 S Merrill Ave 11b, Chicago, IL 60649",1000,Apt,1.0,3.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4577686,41.7733,-87.5728
4577687,"6703 S Merrill Ave 11a, Chicago, IL 60649",1000,Apt,1.0,3.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4577687,41.7733,-87.5726
4577688,"6707 S Merrill Ave 12c, Chicago, IL 60649",1000,Apt,1.0,3.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4577688,41.7732,-87.5726
4577689,"6709 S Merrill Ave 11c, Chicago, IL 60649",1000,Apt,1.0,3.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4577689,41.7731,-87.5726
4577690,"6711 S Merrill Ave 10c, Chicago, IL 60649",1000,Apt,1.0,3.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4577690,41.773,-87.5726
4577691,"6713 S Merrill Ave 9a, Chicago, IL 60649",1000,Apt,1.0,3.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4577691,41.773,-87.5728
4577692,"6715 S Merrill Ave 8b, Chicago, IL 60649",850,Apt,1.0,2.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4577692,41.7729,-87.5728
4577693,"6703 S Merrill Ave 8a, Chicago, IL 60649",850,Apt,1.0,2.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4577693,41.7733,-87.5726
4577694,"6705 S Merrill Ave 7b, Chicago, IL 60649",850,Apt,1.0,2.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4577694,41.7733,-87.5728
4577695,"6711 S Merrill Ave 7a, Chicago, IL 60649",850,Apt,1.0,2.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4577695,41.773,-87.5726
4577696,"6713 S Merrill Ave 6b, Chicago, IL 60649",850,Apt,1.0,2.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4577696,41.773,-87.5728
4577700,"6952 S Paxton Ave 6a, Chicago, IL 60649",850,Apt,1.0,2.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4577700,41.7683,-87.5718
4577702,"6954 S Paxton Ave 5b, Chicago, IL 60649",850,Apt,1.0,2.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4577702,41.7682,-87.5716
4577703,"6956 S Paxton Ave 5a, Chicago, IL 60649",850,Apt,1.0,2.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4577703,41.7682,-87.5716
4577704,"6958 S Paxton Ave 9c, Chicago, IL 60649",850,Apt,1.0,2.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4577704,41.7682,-87.5718
4577705,"6952 S Paxton Ave 8c, Chicago, IL 60649",1000,Apt,1.0,3.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4577705,41.7683,-87.5718
4577706,"6954 S Paxton Ave 7c, Chicago, IL 60649",1000,Apt,1.0,3.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4577706,41.7682,-87.5716
4577707,"6956 S Paxton Ave 6c, Chicago, IL 60649",1000,Apt,1.0,3.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4577707,41.7682,-87.5716
4577708,"6958 S Paxton Ave 14c, Chicago, IL 60649",1000,Apt,1.0,3.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4577708,41.7682,-87.5718
4577709,"6958 S Paxton Ave 8d, Chicago, IL 60649",1000,Apt,1.0,3.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4577709,41.7682,-87.5718
4577710,"6952 S Paxton Ave 7d, Chicago, IL 60649",750,Apt,1.0,1.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4577710,41.7683,-87.5718
4577712,"6954 S Paxton Ave 6d, Chicago, IL 60649",750,Apt,1.0,1.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4577712,41.7682,-87.5716
4577713,"6755 S Paxton Ave 5d, Chicago, IL 60649",750,Apt,1.0,1.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4577713,41.7719,-87.5712
4577714,"6757 S Paxton Ave 4b, Chicago, IL 60649",750,Apt,1.0,1.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4577714,41.7719,-87.5715
4577715,"6755 S Paxton Ave 4a, Chicago, IL 60649",850,Apt,1.0,2.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4577715,41.7719,-87.5712
4577717,"6757 S Paxton Ave 3b, Chicago, IL 60649",850,Apt,1.0,2.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4577717,41.7719,-87.5715
4577726,"6715 S Paxton Ave 3a, Chicago, IL 60649",850,Apt,1.0,2.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4577726,41.7729,-87.571
4577727,"6717 S Paxton Ave 15a, Chicago, IL 60649",850,Apt,1.0,2.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4577727,41.7729,-87.571
4577728,"6715 S Paxton Ave 3d, Chicago, IL 60649",750,Apt,1.0,1.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4577728,41.7729,-87.571
4577729,"6717 S Paxton Ave 5c, Chicago, IL 60649",1000,Apt,1.0,3.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4577729,41.7729,-87.571
4577731,"6721 S Paxton Ave 4c, Chicago, IL 60649",1000,Apt,1.0,3.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4577731,41.7729,-87.571
4577732,"6920 S Oglesby Ave 3c, Chicago, IL 60649",1000,Apt,1.0,3.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4577732,41.7691,-87.5689
4577734,"6922 S Oglesby Ave 2b, Chicago, IL 60649",1255,Apt,1.0,2.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4577734,41.7691,-87.5683
4577735,"6924 S Oglesby Ave 2d, Chicago, IL 60649",1044,Apt,1.0,1.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4577735,41.769,-87.5683
4577736,"6750 S Merrill Ave 1d, Chicago, IL 60649",750,Apt,1.0,1.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4577736,41.7719,-87.5731
4577737,"6754 S Merrill Ave Ave2a, Chicago, IL 60649",850,Apt,1.0,2.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4577737,41.7719,-87.573
4577738,"6924 S Oglesby Ave 2c, Chicago, IL 60649",1000,Apt,1.0,3.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4577738,41.769,-87.5683
4577739,"6721 S Paxton Ave 1c, Chicago, IL 60649",1000,Apt,1.0,3.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4577739,41.7729,-87.571
4577741,"2202 E 68th St St1b, Chicago, IL 60649",850,Apt,1.0,2.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4577741,41.772,-87.5712
4577742,"2210 E 68th St 1a, Chicago, IL 60649",850,Apt,1.0,2.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4577742,41.772,-87.5712
4577749,"7020 S Jeffery Blvd , Chicago, IL 60649",665,Apt,1.0,0.0,Yes,Available Now,(312) 721-0357,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/0-bedroom-1-bathroom-rental-Apt/4577749,41.7671,-87.5767
4577752,"7020 S Jeffery Blvd , Chicago, IL 60649",712,Apt,1.0,1.0,Yes,Available Now,(312) 721-0357,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4577752,41.7671,-87.5767
4578033,"6613 S Whipple St 2, Chicago, IL 60629",1100,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4578033,41.7731,-87.699
4578545,"5015 W West End Ave 1, Chicago, IL 60644",1500,Apt,2.0,4.0,Yes,Available Now,(773) 799-1571,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-2-bathroom-rental-Apt/4578545,41.8038,-87.5853
4578576,"7703 S Halsted St 2s, Chicago, IL 60620",950,Apt,1.0,2.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4578576,41.7541,-87.644
4578582,"7703 S Halsted St 2s, Chicago, IL 60620",950,Apt,1.0,2.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4578582,41.7541,-87.644
4578741,"9164 S Anthony Ave , Chicago, IL 60617",800,Apt,1.0,2.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4578741,41.7284,-87.557
4578757,"7652 S East End Ave 2, Chicago, IL 60649",950,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4578757,41.7554,-87.5837
4578808,"7531 S Phillips Ave , Chicago, IL 60649",1050,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4578808,41.7581,-87.5648
4578816,"1250 W 82nd St , Chicago, IL 60620",850,Apt,1.0,2.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4578816,41.745,-87.6552
4578887,"8558 South Racine Avenue 1, Chicago, IL 60620",1200,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4578887,41.7379,-87.6537
4579078,"5932 S Wabash Ave 1, Chicago, IL 60637",1000,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4579078,41.7864,-87.6244
4579113,"714 W Marquette Rd 1, Chicago, IL 60621",1200,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4579113,41.7728,-87.6434
4579212,"1306 W 78th St , Chicago, IL 60620",1088,Apt,1.0,1.0,Yes,Available Now,(844) 333-9700,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4579212,41.7525,-87.6556
4579291,"2208 E 68th St 13b, Chicago, IL 60649",850,Apt,1.0,2.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4579291,41.772,-87.5712
4579315,"6717 S Paxton Ave 13d, Chicago, IL 60649",750,Apt,1.0,1.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4579315,41.7729,-87.571
4579317,"6756 S Merrill Ave Ave13c, Chicago, IL 60649",850,Apt,1.0,2.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4579317,41.7719,-87.5732
4579318,"6920 S Oglesby Ave 13a, Chicago, IL 60649",1250,Apt,1.0,2.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4579318,41.7691,-87.5689
4579319,"6956 S Paxton Ave 14b, Chicago, IL 60649",850,Apt,1.0,2.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4579319,41.7682,-87.5716
4579321,"6707 S Merrill Ave 14a, Chicago, IL 60649",850,Apt,1.0,2.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4579321,41.7732,-87.5726
4579322,"6754 S Merrill Ave 14d, Chicago, IL 60649",750,Apt,1.0,1.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4579322,41.7719,-87.573
4579323,"6922 S Oglesby Ave 15d, Chicago, IL 60649",1044,Apt,1.0,1.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4579323,41.7691,-87.5683
4579324,"6717 S Paxton Ave 4d, Chicago, IL 60649",850,Apt,1.0,2.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4579324,41.7729,-87.571
4579326,"6717 S Merrill Ave 15b, Chicago, IL 60649",850,Apt,1.0,2.0,Yes,Available Now,(773) 717-5579,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4579326,41.7728,-87.5728
4579420,"4909 W Adams St , Chicago, IL 60644",1200,Apt,2.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-2-bathroom-rental-Apt/4579420,41.8783,-87.7477
4579495,"5701 S Loomis Blvd 1, Chicago, IL 60636",1275,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4579495,41.7359,-87.6582
4579519,"722 North Cicero Avenue 3, Chicago, IL 60644",1350,Apt,1.0,3.0,Yes,Available Now,(773) 799-1571,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4579519,41.8939,-87.7461
